Region/Country/Area,Year,Series,Value,Footnotes,Source
Southern Asia,2010,Gross enrollment ratio - Primary (male),105.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2010,Gross enrollment ratio - Primary (female),105.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2010,Students enrolled in secondary education (thousands),"143,374",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2010,Gross enrollment ratio - Secondary (male),61.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2010,Gross enrollment ratio - Secondary (female),57.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2010,Students enrolled in upper secondary education (thousands),"64,314",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2010,Gross enrollment ratio - Upper secondary level (male),49.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2010,Gross enrollment ratio - Upper secondary level (female),44.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Students enrolled in primary education (thousands),"196,155",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Gross enrollment ratio - Primary (male),103.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Gross enrollment ratio - Primary (female),109.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Students enrolled in secondary education (thousands),"170,442",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Gross enrollment ratio - Secondary (male),69,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Gross enrollment ratio - Secondary (female),68.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Students enrolled in upper secondary education (thousands),"81,646",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Gross enrollment ratio - Upper secondary level (male),59.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2015,Gross enrollment ratio - Upper secondary level (female),56.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Students enrolled in primary education (thousands),"181,851",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Gross enrollment ratio - Primary (male),100.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Gross enrollment ratio - Primary (female),99.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Students enrolled in secondary education (thousands),"175,740",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Gross enrollment ratio - Secondary (male),70,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Gross enrollment ratio - Secondary (female),70.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Students enrolled in upper secondary education (thousands),"86,905",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Gross enrollment ratio - Upper secondary level (male),62.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2019,Gross enrollment ratio - Upper secondary level (female),61,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Students enrolled in primary education (thousands),46,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Gross enrollment ratio - Primary (male),112.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Gross enrollment ratio - Primary (female),108.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Students enrolled in secondary education (thousands),44,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Gross enrollment ratio - Secondary (male),97.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Gross enrollment ratio - Secondary (female),95.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Students enrolled in upper secondary education (thousands),21,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Gross enrollment ratio - Upper secondary level (male),78.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2005,Gross enrollment ratio - Upper secondary level (female),83.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Students enrolled in primary education (thousands),44,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Gross enrollment ratio - Primary (male),106.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Gross enrollment ratio - Primary (female),106.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Students enrolled in secondary education (thousands),49,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Gross enrollment ratio - Secondary (male),98.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Gross enrollment ratio - Secondary (female),99.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Students enrolled in upper secondary education (thousands),34,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Gross enrollment ratio - Upper secondary level (male),96.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2010,Gross enrollment ratio - Upper secondary level (female),97.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Students enrolled in primary education (thousands),40,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Gross enrollment ratio - Primary (male),105.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Gross enrollment ratio - Primary (female),105.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Students enrolled in secondary education (thousands),47,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Gross enrollment ratio - Secondary (male),95.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Gross enrollment ratio - Secondary (female),97.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Students enrolled in upper secondary education (thousands),33,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Gross enrollment ratio - Upper secondary level (male),91.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2015,Gross enrollment ratio - Upper secondary level (female),95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Students enrolled in primary education (thousands),39,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Gross enrollment ratio - Primary (male),99.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Gross enrollment ratio - Primary (female),100.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Students enrolled in secondary education (thousands),43,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Gross enrollment ratio - Secondary (male),90.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Gross enrollment ratio - Secondary (female),93.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Students enrolled in upper secondary education (thousands),29,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Gross enrollment ratio - Upper secondary level (male),83.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Brunei Darussalam,2019,Gross enrollment ratio - Upper secondary level (female),88.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2005,Students enrolled in primary education (thousands),"2,695",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2005,Gross enrollment ratio - Primary (male),135.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2005,Gross enrollment ratio - Primary (female),126,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Students enrolled in primary education (thousands),"2,341",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Gross enrollment ratio - Primary (male),127.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Gross enrollment ratio - Primary (female),119.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Students enrolled in secondary education (thousands),930,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Gross enrollment ratio - Secondary (male),48.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Gross enrollment ratio - Secondary (female),41.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Students enrolled in upper secondary education (thousands),286,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Gross enrollment ratio - Upper secondary level (male),33,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2008,Gross enrollment ratio - Upper secondary level (female),24.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2010,Students enrolled in primary education (thousands),"2,273",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2010,Gross enrollment ratio - Primary (male),127.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2010,Gross enrollment ratio - Primary (female),120.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2015,Students enrolled in primary education (thousands),"2,179",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2015,Gross enrollment ratio - Primary (male),117.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2015,Gross enrollment ratio - Primary (female),116.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2019,Students enrolled in primary education (thousands),"2,163",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2019,Gross enrollment ratio - Primary (male),107.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Cambodia,2019,Gross enrollment ratio - Primary (female),105,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2005,Students enrolled in primary education (thousands),"29,150",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2005,Gross enrollment ratio - Primary (male),109.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2005,Gross enrollment ratio - Primary (female),106.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2005,Students enrolled in secondary education (thousands),"15,993",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2005,Gross enrollment ratio - Secondary (male),60.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2005,Gross enrollment ratio - Secondary (female),59.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2005,Students enrolled in upper secondary education (thousands),"6,311",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Indonesia,2005,Gross enrollment ratio - Upper secondary level (male),49.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
